,sample,cid,class,db,dir,num,split,tag,vid
10,#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_0.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_0/img/,79,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_0.avi
11,#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_1.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_1/img/,79,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_1.avi
12,#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_3.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_3/img/,79,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_ba_med_3.avi
13,#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_fr_med_2.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_fr_med_2/img/,79,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/#437_How_To_Ride_A_Bike_ride_bike_f_cm_np1_fr_med_2.avi
14,(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_ba_med_0.avi,47,climb,hmdb51,./Dataset/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_ba_med_0/img/,73,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_ba_med_0.avi
15,(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_fr_med_4.avi,47,climb,hmdb51,./Dataset/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_fr_med_4/img/,149,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_fr_med_4.avi
16,(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_fr_med_5.avi,47,climb,hmdb51,./Dataset/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_fr_med_5/img/,77,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_fr_med_5.avi
17,(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_le_med_1.avi,47,climb,hmdb51,./Dataset/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_le_med_1/img/,127,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_le_med_1.avi
18,(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_le_med_2.avi,47,climb,hmdb51,./Dataset/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_le_med_2/img/,241,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_le_med_2.avi
19,(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_le_med_3.avi,47,climb,hmdb51,./Dataset/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_le_med_3/img/,195,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/climb/(HQ)_Rock_Climbing_-_Free_Solo_Speed_Climb_-_Dan_Osman_climb_f_cm_np1_le_med_3.avi
20,(Rad)Schlag_die_Bank!_cartwheel_f_cm_np1_le_med_0.avi,26,cartwheel,hmdb51,./Dataset/hmdb51/cartwheel/(Rad)Schlag_die_Bank!_cartwheel_f_cm_np1_le_med_0/img/,83,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/cartwheel/(Rad)Schlag_die_Bank!_cartwheel_f_cm_np1_le_med_0.avi
21,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_10.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_10/img/,84,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_10.avi
22,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_2.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_2/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_2.avi
23,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_6.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_6/img/,62,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_6.avi
24,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_7.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_7/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_7.avi
25,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_8.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_8/img/,92,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_ba_goo_8.avi
26,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_0.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_0/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_0.avi
27,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_1.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_1/img/,86,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_1.avi
28,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_11.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_11/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_11.avi
29,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_12.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_12/img/,65,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_12.avi
30,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_3.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_3/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_3.avi
31,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_4.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_4/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_4.avi
32,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_9.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_9/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np2_le_goo_9.avi
33,-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np4_le_goo_5.avi,24,hug,hmdb51,./Dataset/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np4_le_goo_5/img/,95,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/hug/-_FREE_HUGS_-_Abrazos_Gratis_www_abrazosgratis_org_hug_u_cm_np4_le_goo_5.avi
34,100_Push-ups_Initial_Test_hundredpushups_com_pushup_f_nm_np1_fr_goo_0.avi,15,pushup,hmdb51,./Dataset/hmdb51/pushup/100_Push-ups_Initial_Test_hundredpushups_com_pushup_f_nm_np1_fr_goo_0/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pushup/100_Push-ups_Initial_Test_hundredpushups_com_pushup_f_nm_np1_fr_goo_0.avi
35,100_Push-ups_Initial_Test_hundredpushups_com_pushup_f_nm_np1_fr_goo_1.avi,15,pushup,hmdb51,./Dataset/hmdb51/pushup/100_Push-ups_Initial_Test_hundredpushups_com_pushup_f_nm_np1_fr_goo_1/img/,77,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pushup/100_Push-ups_Initial_Test_hundredpushups_com_pushup_f_nm_np1_fr_goo_1.avi
36,100_Push-ups_Initial_Test_hundredpushups_com_pushup_f_nm_np1_fr_goo_2.avi,15,pushup,hmdb51,./Dataset/hmdb51/pushup/100_Push-ups_Initial_Test_hundredpushups_com_pushup_f_nm_np1_fr_goo_2/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pushup/100_Push-ups_Initial_Test_hundredpushups_com_pushup_f_nm_np1_fr_goo_2.avi
37,100_Second_Handstand_handstand_f_nm_np1_ba_bad_0.avi,48,handstand,hmdb51,./Dataset/hmdb51/handstand/100_Second_Handstand_handstand_f_nm_np1_ba_bad_0/img/,65,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/handstand/100_Second_Handstand_handstand_f_nm_np1_ba_bad_0.avi
38,100_pullups_pullup_f_nm_np1_fr_med_1.avi,17,pullup,hmdb51,./Dataset/hmdb51/pullup/100_pullups_pullup_f_nm_np1_fr_med_1/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pullup/100_pullups_pullup_f_nm_np1_fr_med_1.avi
39,100_pullups_pullup_f_nm_np1_fr_med_2.avi,17,pullup,hmdb51,./Dataset/hmdb51/pullup/100_pullups_pullup_f_nm_np1_fr_med_2/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pullup/100_pullups_pullup_f_nm_np1_fr_med_2.avi
40,100_pullups_pullup_u_nm_np1_fr_med_0.avi,17,pullup,hmdb51,./Dataset/hmdb51/pullup/100_pullups_pullup_u_nm_np1_fr_med_0/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pullup/100_pullups_pullup_u_nm_np1_fr_med_0.avi
41,100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_0.avi,15,pushup,hmdb51,./Dataset/hmdb51/pushup/100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_0/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pushup/100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_0.avi
42,100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_1.avi,15,pushup,hmdb51,./Dataset/hmdb51/pushup/100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_1/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pushup/100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_1.avi
43,100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_2.avi,15,pushup,hmdb51,./Dataset/hmdb51/pushup/100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_2/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pushup/100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_2.avi
44,100_push_ups_pushup_f_nm_np1_ri_med_0.avi,15,pushup,hmdb51,./Dataset/hmdb51/pushup/100_push_ups_pushup_f_nm_np1_ri_med_0/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pushup/100_push_ups_pushup_f_nm_np1_ri_med_0.avi
45,100_push_ups_pushup_f_nm_np1_ri_med_1.avi,15,pushup,hmdb51,./Dataset/hmdb51/pushup/100_push_ups_pushup_f_nm_np1_ri_med_1/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pushup/100_push_ups_pushup_f_nm_np1_ri_med_1.avi
46,100_push_ups_pushup_f_nm_np1_ri_med_2.avi,15,pushup,hmdb51,./Dataset/hmdb51/pushup/100_push_ups_pushup_f_nm_np1_ri_med_2/img/,80,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pushup/100_push_ups_pushup_f_nm_np1_ri_med_2.avi
47,10_Pull_Ups_pullup_f_nm_np1_fr_goo_0.avi,17,pullup,hmdb51,./Dataset/hmdb51/pullup/10_Pull_Ups_pullup_f_nm_np1_fr_goo_0/img/,69,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pullup/10_Pull_Ups_pullup_f_nm_np1_fr_goo_0.avi
48,10_Pull_Ups_pullup_f_nm_np1_fr_goo_1.avi,17,pullup,hmdb51,./Dataset/hmdb51/pullup/10_Pull_Ups_pullup_f_nm_np1_fr_goo_1/img/,79,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pullup/10_Pull_Ups_pullup_f_nm_np1_fr_goo_1.avi
49,10_Pull_Ups_pullup_f_nm_np1_fr_goo_2.avi,17,pullup,hmdb51,./Dataset/hmdb51/pullup/10_Pull_Ups_pullup_f_nm_np1_fr_goo_2/img/,79,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pullup/10_Pull_Ups_pullup_f_nm_np1_fr_goo_2.avi
50,11408ErikaRecurvefront_shoot_bow_u_nm_np1_fr_med_0.avi,50,shoot_bow,hmdb51,./Dataset/hmdb51/shoot_bow/11408ErikaRecurvefront_shoot_bow_u_nm_np1_fr_med_0/img/,232,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/shoot_bow/11408ErikaRecurvefront_shoot_bow_u_nm_np1_fr_med_0.avi
51,11408ErikaRecurvefront_shoot_bow_u_nm_np1_fr_med_1.avi,50,shoot_bow,hmdb51,./Dataset/hmdb51/shoot_bow/11408ErikaRecurvefront_shoot_bow_u_nm_np1_fr_med_1/img/,262,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/shoot_bow/11408ErikaRecurvefront_shoot_bow_u_nm_np1_fr_med_1.avi
52,12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_0.avi,17,pullup,hmdb51,./Dataset/hmdb51/pullup/12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_0/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pullup/12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_0.avi
53,12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_1.avi,17,pullup,hmdb51,./Dataset/hmdb51/pullup/12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_1/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pullup/12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_1.avi
54,12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_2.avi,17,pullup,hmdb51,./Dataset/hmdb51/pullup/12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_2/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pullup/12_Pull-ups_by_female_athlete_pullup_f_cm_np1_ba_med_2.avi
55,1899_Hamlet__the_Fencing_Scene_with_Laertes_fencing_f_cm_np2_le_med_0.avi,13,fencing,hmdb51,./Dataset/hmdb51/fencing/1899_Hamlet__the_Fencing_Scene_with_Laertes_fencing_f_cm_np2_le_med_0/img/,124,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/fencing/1899_Hamlet__the_Fencing_Scene_with_Laertes_fencing_f_cm_np2_le_med_0.avi
56,1899_Hamlet__the_Fencing_Scene_with_Laertes_fencing_f_cm_np2_le_med_1.avi,13,fencing,hmdb51,./Dataset/hmdb51/fencing/1899_Hamlet__the_Fencing_Scene_with_Laertes_fencing_f_cm_np2_le_med_1/img/,139,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/fencing/1899_Hamlet__the_Fencing_Scene_with_Laertes_fencing_f_cm_np2_le_med_1.avi
57,1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ba_med_0.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ba_med_0/img/,114,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ba_med_0.avi
58,1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ba_med_1.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ba_med_1/img/,244,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ba_med_1.avi
59,1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ba_med_2.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ba_med_2/img/,167,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ba_med_2.avi
60,1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_fr_med_6.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_fr_med_6/img/,123,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_fr_med_6.avi
61,1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_fr_med_7.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_fr_med_7/img/,178,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_fr_med_7.avi
62,1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_le_med_4.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_le_med_4/img/,79,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_le_med_4.avi
63,1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ri_med_3.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ri_med_3/img/,60,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ri_med_3.avi
64,1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ri_med_5.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ri_med_5/img/,117,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1989_Tour_de_France_Final_Time_Trial_ride_bike_f_cm_np1_ri_med_5.avi
65,1996_Tour_de_France_-_Indurain_Cracks_ride_bike_f_cm_np1_ba_med_1.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1996_Tour_de_France_-_Indurain_Cracks_ride_bike_f_cm_np1_ba_med_1/img/,122,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1996_Tour_de_France_-_Indurain_Cracks_ride_bike_f_cm_np1_ba_med_1.avi
66,1996_Tour_de_France_-_Indurain_Cracks_ride_bike_f_cm_np1_le_med_0.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1996_Tour_de_France_-_Indurain_Cracks_ride_bike_f_cm_np1_le_med_0/img/,77,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1996_Tour_de_France_-_Indurain_Cracks_ride_bike_f_cm_np1_le_med_0.avi
67,1996_Tour_de_France_-_Indurain_Cracks_ride_bike_f_cm_np1_ri_med_2.avi,9,ride_bike,hmdb51,./Dataset/hmdb51/ride_bike/1996_Tour_de_France_-_Indurain_Cracks_ride_bike_f_cm_np1_ri_med_2/img/,83,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/ride_bike/1996_Tour_de_France_-_Indurain_Cracks_ride_bike_f_cm_np1_ri_med_2.avi
